,CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN
14,16-01-0481-46,16-031,16,1601,LICEO AMERICANO DEL NORTE,5A. CALLE 2 23 ZONA 4,79514754,GLENDA DINORA GARCIA DELGADO,JOSE CUPERTINO REYES GARCIA,DIVERSIFICADO,PRIVADO,URBANA,1,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
15,16-01-0483-46,16-031,16,1601,LICEO AMERICANO DEL NORTE,5A. CALLE 2 23 ZONA 4,79514754,GLENDA DINORA GARCIA DELGADO,JOSE CUPERTINO REYES GARCIA,DIVERSIFICADO,PRIVADO,URBANA,1,MONOLINGUE,DOBLE,FIN DE SEMANA
16,16-01-0557-46,16-031,16,1601,COLEGIO LA LIBERTAD,3A. AVE 5 12 ZONA 4,79523696,GLENDA DINORA GARCIA DELGADO,NA,DIVERSIFICADO,PRIVADO,URBANA,1,MONOLINGUE,DOBLE,FIN DE SEMANA
17,16-01-0558-46,16-005,16,1601,INSTITUTO NORMAL PREPRIMARIA BILINGUE ADSCRITO AL INSTITUTO NORMAL MIXTO DEL NORTE EMILIO ROSALES PONCE,3A. AVE. 6 23 ZONA 11,79521468,MARITZA SOEHY MORALES SURUY,NA,DIVERSIFICADO,OFICIAL,URBANA,1,MONOLINGUE,VESPERTINA,DIARIO(REGULAR)
18,16-01-0559-46,16-005,16,1601,INSTITUTO NORMAL PRIMARIA BILINGUE INTERCULTURAL ADS. AL INSTITUTO EMILIO ROSALES PONCE,3A. AVE. 6 23 ZONA 11,79521468,MARITZA SOEHY MORALES SURUY,NA,DIVERSIFICADO,OFICIAL,URBANA,1,MONOLINGUE,VESPERTINA,DIARIO(REGULAR)
19,16-01-0563-46,16-031,16,1601,CENTRO DE FORMACION INTEGRAL LAS CONCHAS FMG,ALDEA LAS CONCHAS,79522793,GLENDA DINORA GARCIA DELGADO,CARLOS OXOM,DIVERSIFICADO,PRIVADO,RURAL,1,MONOLINGUE,VESPERTINA,DIARIO(REGULAR)
20,16-01-0565-46,16-031,16,1601,INSTITUTO MIXTO PRIVADO SALUD Y DESARROLLO,"3A. AVE 16 16 ZONA 11, BARRIO LA LIBERTAD",44042550,GLENDA DINORA GARCIA DELGADO,HENRI MARCO TULIO ARTOLA TEYUL,DIVERSIFICADO,PRIVADO,URBANA,1,MONOLINGUE,DOBLE,FIN DE SEMANA
21,16-01-0568-46,16-031,16,1601,INSTITUTO PRIVADO RAUL CHENAL HEINEMANN,5A. CALLE 1 06 ZONA 3,79510413,GLENDA DINORA GARCIA DELGADO,ASTRID YADIRA MARROQUIN MOLINA,DIVERSIFICADO,PRIVADO,URBANA,1,MONOLINGUE,NOCTURNA,DIARIO(REGULAR)
22,16-01-0570-46,16-031,16,1601,LICEO MIGUEL ANGEL ASTURIAS,7A. CALLE 1 13 ZONA 3,79511103,GLENDA DINORA GARCIA DELGADO,WALDEMAR PEREZ OXOM,DIVERSIFICADO,PRIVADO,URBANA,1,MONOLINGUE,DOBLE,FIN DE SEMANA
23,16-01-0572-46,16-031,16,1601,LICEO MIGUEL ANGEL ASTURIAS,7A. CALLE 1 13 ZONA 3,79511103,GLENDA DINORA GARCIA DELGADO,WALDEMAR PEREZ OXOM,DIVERSIFICADO,PRIVADO,URBANA,1,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
24,16-01-0573-46,16-031,16,1601,COLEGIO CRISTIANO BILINGUE VERBO,4A. CALLE A 4 32 ZONA 8,77945181,GLENDA DINORA GARCIA DELGADO,ALICIA WINTER CAAL DE ENRIQUEZ,DIVERSIFICADO,PRIVADO,URBANA,1,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
25,16-01-0574-46,16-005,16,1601,ESCUELA NACIONAL DE CIENCIAS COMERCIALES,2A. CALLE 11 10 ZONA 2,47177563,MARITZA SOEHY MORALES SURUY,NA,DIVERSIFICADO,OFICIAL,URBANA,1,MONOLINGUE,VESPERTINA,DIARIO(REGULAR)
26,16-01-0583-46,16-031,16,1601,COLEGIO NUEVOS SENDEROS,"3A. CALLE 3 74, ZONA 3",79417300,GLENDA DINORA GARCIA DELGADO,ZOYLA ARGENTINA MOLLINEDO ALVARADO,DIVERSIFICADO,PRIVADO,URBANA,1,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
27,16-01-0604-46,16-031,16,1601,INSTITUTO PRIVADO RAUL CHENAL HEINEMANN,"5A. CALLE 1 06, ZONA 3",79510413,GLENDA DINORA GARCIA DELGADO,ASTRID YADIRA MARROQUIN MOLINA,DIVERSIFICADO,PRIVADO,URBANA,1,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
28,16-01-0609-46,16-031,16,1601,INSTITUTO MIXTO DE EDUCACION BILINGUE INTERCULTURAL -IMEBI-,LOTIFICACION CHIVENCORRAL,30367501,GLENDA DINORA GARCIA DELGADO,JUAN PASCUAL FRANCISCO LUCAS ANTONIO,DIVERSIFICADO,PRIVADO,URBANA,1,MONOLINGUE,VESPERTINA,DIARIO(REGULAR)
29,16-01-0611-46,16-031,16,1601,COLEGIO HISPANOAMERICANO,"1A.CALLE 17 41 COMUNIDAD PETET CHIXIC, ZONA 12",74725125,GLENDA DINORA GARCIA DELGADO,EDWIN ISMAEL CAAL CU,DIVERSIFICADO,PRIVADO,URBANA,1,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
30,16-01-0612-46,16-031,16,1601,INSTITUTO DE MAGISTERIO DE EDUCACION PREPRIMARIA INFANTIL BILINGUE INTERCULTURAL LUZ DEL SABER,"CALZADA RABIN AJAU, ZONA 1",51609883,GLENDA DINORA GARCIA DELGADO,FELIPE CHO TUT,DIVERSIFICADO,PRIVADO,RURAL,1,BILINGUE,VESPERTINA,DIARIO(REGULAR)
31,16-01-0613-46,16-031,16,1601,COLEGIO PARTICULAR MIXTO ANTON DE MONTESINOS,3AVE 1 23 ZONA 4,79500597,GLENDA DINORA GARCIA DELGADO,MARGARITA VILLALOBOS LIGORRIA DE MENDOZA,DIVERSIFICADO,PRIVADO,URBANA,1,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
32,16-01-0616-46,16-037,16,1601,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,ALDEA SALACUIM,57655184,JUVENTINA ALVARADO PEREZ,NA,DIVERSIFICADO,OFICIAL,RURAL,1,MONOLINGUE,VESPERTINA,DIARIO(REGULAR)
33,16-01-0619-46,16-031,16,1601,COLEGIO PARTICULAR MIXTO ANTON DE MONTESINOS,"3A. AVE 1 23, ZONA 4",79513444,GLENDA DINORA GARCIA DELGADO,MARGARITA VILLALOBOS LIGORRIA,DIVERSIFICADO,PRIVADO,URBANA,1,MONOLINGUE,VESPERTINA,DIARIO(REGULAR)
34,16-01-0642-46,16-005,16,1601,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,ALDEA CHOVAL,40071908,MARITZA SOEHY MORALES SURUY,NA,DIVERSIFICADO,OFICIAL,RURAL,1,MONOLINGUE,VESPERTINA,DIARIO(REGULAR)
35,16-01-0646-46,16-031,16,1601,INSTITUTO MIXTO PRIVADO SALUD Y DESARROLLO,4A. CALLE 6 92 ZONA 11,44042550,GLENDA DINORA GARCIA DELGADO,NA,DIVERSIFICADO,PRIVADO,URBANA,1,MONOLINGUE,DOBLE,FIN DE SEMANA
36,16-01-0651-46,16-031,16,1601,CENTRO DE FORMACION INTEGRAL CIUDAD DE LA ESPERANZA,6A. AVE 10 68 ZONA 12 COLONIA EL ESFUERZO I,77367652,GLENDA DINORA GARCIA DELGADO,SILVIA ANABELLA RIVERA GARCA,DIVERSIFICADO,PRIVADO,URBANA,1,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
37,16-01-0652-46,16-037,16,1601,INSTITUTO MAYA COMUNITARIO K AMOLB E,ALDEA NIMLAJACOC,49203582,JUVENTINA ALVARADO PEREZ,JOSE MARIA CHOC,DIVERSIFICADO,PRIVADO,RURAL,1,BILINGUE,VESPERTINA,DIARIO(REGULAR)
38,16-01-0664-46,16-031,16,1601,LICEO AMERICANO DEL NORTE,5A. AVE 2 23 ZONA 4,79514754,GLENDA DINORA GARCIA DELGADO,JOSE CUPERTINO REYES GARCIA,DIVERSIFICADO,PRIVADO,URBANA,1,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
39,16-01-0665-46,16-031,16,1601,COLEGIO DE INFORMATICA CENINFAV,12 AVE 2 12 ZONA 1,79545566,GLENDA DINORA GARCIA DELGADO,MARIA MAGDALENA BOL CU,DIVERSIFICADO,PRIVADO,URBANA,1,MONOLINGUE,DOBLE,DIARIO(REGULAR)
40,16-01-0666-46,16-031,16,1601,COLEGIO DE INFORMATICA CENINFAV,12 AVE 2 12 ZONA 1,79521765,GLENDA DINORA GARCIA DELGADO,HECTOR VIDAL BOL CU,DIVERSIFICADO,PRIVADO,URBANA,1,MONOLINGUE,DOBLE,FIN DE SEMANA
41,16-01-0668-46,16-031,16,1601,COLEGIO PARTICULAR MIXTO IMPERIAL,"5A.CALLE 1 98, ZONA 3",57101061,GLENDA DINORA GARCIA DELGADO,JUAN JOSE LUTHER MEJICANOS,DIVERSIFICADO,PRIVADO,URBANA,1,MONOLINGUE,DOBLE,DIARIO(REGULAR)
42,16-01-0671-46,16-031,16,1601,COLEGIO PRIVADO MIXTO TECNOLOGICO EN INFORMATICA,2A. CALLE 12 23 ZONA 4,79521190,GLENDA DINORA GARCIA DELGADO,JORGE SALVADOR JUAREZ SIERRA,DIVERSIFICADO,PRIVADO,URBANA,1,MONOLINGUE,DOBLE,DIARIO(REGULAR)
43,16-01-0672-46,16-031,16,1601,ICA,11AVE 1 10 ZONA 1,77283890,GLENDA DINORA GARCIA DELGADO,HAMILTON OTTONIEL LOPEZ RAMIREZ,DIVERSIFICADO,PRIVADO,URBANA,1,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
44,16-01-0678-46,16-031,16,1601,COLEGIO LA LIBERTAD,3A. AVE CINCO GUION DOCE (5 12),48979726,GLENDA DINORA GARCIA DELGADO,PABLO RIGOBERTO DE LA CRUZ CABALLEROS,DIVERSIFICADO,PRIVADO,URBANA,1,MONOLINGUE,DOBLE,FIN DE SEMANA
45,16-01-0681-46,16-031,16,1601,INSTITUTO MIXTO PRIVADO SANTO DOMINGO,"2A. CALLE 11 10, ZONA 2",79529830,GLENDA DINORA GARCIA DELGADO,AMERICA NUILA LUTHER,DIVERSIFICADO,PRIVADO,URBANA,1,MONOLINGUE,DOBLE,FIN DE SEMANA
46,16-01-1172-46,16-006,16,1601,COLEGIO PARTICULAR MIXTO CARLOS V,6A. CALLE 2 06 ZONA 8 PERIFERICO SUR COBAN,0,ARMANDO AUDILIO POP CUCUL,NA,DIVERSIFICADO,PRIVADO,URBANA,2,MONOLINGUE,MATUTINA,FIN DE SEMANA
47,16-01-1173-46,16-006,16,1601,COLEGIO PARTICULAR MIXTO CARLOS V,6A. CALLE 2 06 ZONA 8 PERIFERICO SUR COBAN,0,ARMANDO AUDILIO POP CUCUL,NA,DIVERSIFICADO,PRIVADO,URBANA,2,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
48,16-01-1174-46,16-031,16,1601,INSTITUTO PRIVADO RAUL CHENAL HEINEMANN,5A. CALLE 1 06 ZONA 3,79510413,GLENDA DINORA GARCIA DELGADO,ASTRID YADIRA MARROQUIN MOLINA,DIVERSIFICADO,PRIVADO,URBANA,1,MONOLINGUE,VESPERTINA,DIARIO(REGULAR)
49,16-01-1175-46,16-031,16,1601,INSTITUTO PRIVADO RAUL CHENAL HEINEMANN,5A. CALLE 1 06 ZONA 3,79520414,GLENDA DINORA GARCIA DELGADO,ASTRID YADIRA MARROQUIN MOLINA,DIVERSIFICADO,PRIVADO,URBANA,1,MONOLINGUE,DOBLE,FIN DE SEMANA
50,16-01-1176-46,16-031,16,1601,INSTITUTO MIXTO PRIVADO SANTO DOMINGO,2A. CALLE 11 10 ZONA 2,79529830,GLENDA DINORA GARCIA DELGADO,NA,DIVERSIFICADO,PRIVADO,URBANA,1,MONOLINGUE,VESPERTINA,SABATINO
51,16-01-1177-46,16-006,16,1601,INSTITUTO PRIVADO MIXTO SANTO DOMINGO,2A. CALLE 11 10 ZONA 2,77231494,ARMANDO AUDILIO POP CUCUL,NA,DIVERSIFICADO,PRIVADO,URBANA,2,MONOLINGUE,MATUTINA,SABATINO
52,16-01-1259-46,16-006,16,1601,INSTITUTO DE TURISMO Y AVIACION DEL NORTE ITAN,3A. AVE 5 28 ZONA 4,58633599,ARMANDO AUDILIO POP CUCUL,NA,DIVERSIFICADO,PRIVADO,URBANA,2,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
53,16-01-1312-46,16-031,16,1601,COLEGIO PRIVADO MIXTO TECNOLOGICO EN INFORMATICA,2A. CALLE 12 23 ZONA 4,79511459,GLENDA DINORA GARCIA DELGADO,NA,DIVERSIFICADO,PRIVADO,URBANA,1,MONOLINGUE,VESPERTINA,FIN DE SEMANA
54,16-01-1313-46,16-006,16,1601,COLEGIO PRIVADO MIXTO TECNOLOGICO EN INFORMATICA,2A. CALLE 12 23 ZONA 4,79511459,ARMANDO AUDILIO POP CUCUL,NA,DIVERSIFICADO,PRIVADO,URBANA,2,MONOLINGUE,NOCTURNA,DIARIO(REGULAR)
55,16-01-1390-46,16-031,16,1601,LICEO MIGUEL ANGEL ASTURIAS,7A. CALLE 1 13 ZONA 3,79511103,GLENDA DINORA GARCIA DELGADO,NA,DIVERSIFICADO,PRIVADO,URBANA,1,MONOLINGUE,MATUTINA,FIN DE SEMANA
56,16-01-1393-46,16-031,16,1601,LICEO PREUNIVERSITARIO DEL NORTE,2A. CALLE 6 41 ZONA 4,79417346,GLENDA DINORA GARCIA DELGADO,NA,DIVERSIFICADO,PRIVADO,URBANA,2,MONOLINGUE,VESPERTINA,FIN DE SEMANA
57,16-01-1394-46,16-031,16,1601,INSTITUTO PRIVADO MIXTO MONJA BLANCA,3A. AVE 2 12 ZONA 1,79513896,GLENDA DINORA GARCIA DELGADO,NA,DIVERSIFICADO,PRIVADO,URBANA,1,MONOLINGUE,DOBLE,FIN DE SEMANA
58,16-01-1401-46,16-006,16,1601,COOPERACION MESOAMERICANA PARA EL DESARROLLO Y LA PAZ -COMADEP-,COBAN,52182313,ARMANDO AUDILIO POP CUCUL,NA,DIVERSIFICADO,PRIVADO,URBANA,2,MONOLINGUE,DOBLE,A DISTANCIA
59,16-01-1468-46,16-031,16,1601,COLEGIO NUESTRA SENORA DE LA ESPERANZA,COLONIA EL ESFUERZO I ZONA 12,79510207,GLENDA DINORA GARCIA DELGADO,NA,DIVERSIFICADO,PRIVADO,URBANA,2,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
60,16-01-1469-46,16-031,16,1601,COLEGIO PRIVADO MIXTO TECNOLOGICO EN INFORMATICA,2A. CALLE 12 23 ZONA 4,79511459,GLENDA DINORA GARCIA DELGADO,NA,DIVERSIFICADO,PRIVADO,URBANA,1,MONOLINGUE,DOBLE,FIN DE SEMANA
61,16-01-1491-46,16-031,16,1601,COLEGIO LA LIBERTAD,BARRIO LA LIBERTAD ZONA 10,79511439,GLENDA DINORA GARCIA DELGADO,PABLO RIGOBERTO DE LA CRUZ CABALLEROS,DIVERSIFICADO,PRIVADO,URBANA,1,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
62,16-01-2156-46,16-031,16,1601,COLEGIO PARTICULAR MIXTO IMPERIAL,5A. CALLE 1 98 ZONA 3,57101061,GLENDA DINORA GARCIA DELGADO,NA,DIVERSIFICADO,PRIVADO,URBANA,1,MONOLINGUE,VESPERTINA,DIARIO(REGULAR)
63,16-01-2171-46,16-031,16,1601,INSTITUTO MIXTO NUEVOS HORIZONTES,"6A. AVE 1 15, ZONA 4",0,GLENDA DINORA GARCIA DELGADO,NA,DIVERSIFICADO,PRIVADO,URBANA,1,MONOLINGUE,MATUTINA,FIN DE SEMANA
64,16-01-2302-46,16-031,16,1601,INSTITUTO PRIVADO MIXTO MONJA BLANCA,2A. CALLE 10 11 ZONA 2,79513896,GLENDA DINORA GARCIA DELGADO,NA,DIVERSIFICADO,PRIVADO,URBANA,1,MONOLINGUE,MATUTINA,SABATINO
65,16-01-2947-46,NA,16,1601,INSTITUTO PRIVADO BASICO Y BACHILLERATO POR MADUREZ CARLOS V,5A. CALLE 1 98 ZONA 3,0,NA,NA,DIVERSIFICADO,PRIVADO,URBANA,2,MONOLINGUE,VESPERTINA,DIARIO(REGULAR)
66,16-01-3041-46,16-005,16,1601,INSTITUTO DE BACHILLERATO ADS. AL INSTITUTO NORMAL MIXTO DEL NORTE EMILIO ROSALES PONCE,3AVE 6 23 ZONA 11,79521468,MARITZA SOEHY MORALES SURUY,GUSTAVO ADOLFO SIERRA POP,DIVERSIFICADO,OFICIAL,URBANA,1,MONOLINGUE,VESPERTINA,DIARIO(REGULAR)
67,16-01-6190-46,16-031,16,1601,LICEO MIGUEL ANGEL ASTURIAS,7A. CALLE 1 13 ZONA 3,79511103,GLENDA DINORA GARCIA DELGADO,NA,DIVERSIFICADO,PRIVADO,URBANA,1,MONOLINGUE,VESPERTINA,DIARIO(REGULAR)
68,16-01-6191-46,16-031,16,1601,COLEGIO PRIVADO MIXTO TECNOLOGICO EN INFORMATICA,2A. CALLE 12 23 ZONA 4,79511459,GLENDA DINORA GARCIA DELGADO,NA,DIVERSIFICADO,PRIVADO,URBANA,1,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
69,16-01-7308-46,16-031,16,1601,COLEGIO PARTICULAR MIXTO IMPERIAL,"5A. CALLE 1 98, ZONA 3.",79514226,GLENDA DINORA GARCIA DELGADO,NA,DIVERSIFICADO,PRIVADO,URBANA,2,MONOLINGUE,NOCTURNA,DIARIO(REGULAR)
70,16-01-8294-46,16-031,16,1601,LICEO PREUNIVERSITARIO DEL NORTE,3A. AVE 8 32 BARRIO LA LIBERTAD ZONA 10,79417346,GLENDA DINORA GARCIA DELGADO,NA,DIVERSIFICADO,PRIVADO,URBANA,1,MONOLINGUE,DOBLE,DIARIO(REGULAR)
71,16-01-8317-46,16-031,16,1601,LICEO DE COMPUTACION Y EDUCACION PARA EL HOGAR M.B.M.,3AVE 1 23 ZONA 4,79513444,GLENDA DINORA GARCIA DELGADO,MATILDE OCH CACAO,DIVERSIFICADO,PRIVADO,RURAL,2,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
72,16-01-8331-46,16-031,16,1601,LICEO PREUNIVERSITARIO DEL NORTE,3A. AVE 8 32 BARRIO LA LIBERTAD ZONA 10,79417346,GLENDA DINORA GARCIA DELGADO,NA,DIVERSIFICADO,PRIVADO,URBANA,1,MONOLINGUE,DOBLE,FIN DE SEMANA
73,16-01-8335-46,16-031,16,1601,COLEGIO DE INFORMATICA CENINFAV,12 AVE 2 12 ZONA 1,79545566,GLENDA DINORA GARCIA DELGADO,MARIA MAGDALENA BOL CU,DIVERSIFICADO,PRIVADO,RURAL,1,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
74,16-01-8813-46,25-000,16,1601,INSTITUTO GUATEMALTECO DE EDUCACION RADIOFONICA (IGER),NA,0,SONIA HAYDEE REYES MONTERROSO,NA,DIVERSIFICADO,PRIVADO,RURAL,2,MONOLINGUE,MATUTINA,A DISTANCIA
75,16-01-9067-46,16-005,16,1601,ESCUELA NORMAL DE EDUCACION FISICA,CALZADA RABIN AJAU ZONA 1,79523686,MARITZA SOEHY MORALES SURUY,NA,DIVERSIFICADO,OFICIAL,URBANA,1,MONOLINGUE,DOBLE,DIARIO(REGULAR)
76,16-01-9095-46,16-031,16,1601,COLEGIO PRIVADO MIXTO TECNOLOGICO EN INFORMATICA,2A. CALLE 12 23 ZONA 4,79511459,GLENDA DINORA GARCIA DELGADO,CARLOS ENRIQUE MONROY SIERRA,DIVERSIFICADO,PRIVADO,URBANA,1,MONOLINGUE,VESPERTINA,DIARIO(REGULAR)
77,16-01-9102-46,16-031,16,1601,COLEGIO MIXTO EVANGELICO NAZARENO,6A. CALLE 8 10 ZONA 10 CERRITO EL CARACOL COBAN,79511866,GLENDA DINORA GARCIA DELGADO,NA,DIVERSIFICADO,PRIVADO,URBANA,1,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
78,16-01-9260-46,16-005,16,1601,ESCUELA DE FORMACION AGRICOLA,FINCA SAN JOSE LA COLONIA,52191386,MARITZA SOEHY MORALES SURUY,NA,DIVERSIFICADO,OFICIAL,RURAL,2,MONOLINGUE,DOBLE,DIARIO(REGULAR)
79,16-01-9544-46,16-031,16,1601,COLEGIO BILINGUE DE INFANTES,1A.CALLE 8 50 ZONA 3,79513272,GLENDA DINORA GARCIA DELGADO,NA,DIVERSIFICADO,PRIVADO,URBANA,2,MONOLINGUE,MATUTINA,DIARIO(REGULAR)
80,16-01-9851-46,16-031,16,1601,COLEGIO DE INFORMATICA CENINFAV,12AVE 2 12 ZONA 1,79521765,GLENDA DINORA GARCIA DELGADO,NA,DIVERSIFICADO,PRIVADO,URBANA,1,MONOLINGUE,DOBLE,FIN DE SEMANA
81,16-01-9897-46,16-031,16,1601,COLEGIO PARTICULAR MIXTO VERAPAZ,KM.209.5 ENTRADA A COBAN,77367402,GLENDA DINORA GARCIA DELGADO,NA,DIVERSIFICADO,PRIVADO,URBANA,1,MONOLINGUE,VESPERTINA,DIARIO(REGULAR)
82,16-01-9956-46,16-031,16,1601,LICEO PREUNIVERSITARIO DEL NORTE,2A. CALLE 4 61 ZONA 4,79514754,GLENDA DINORA GARCIA DELGADO,NA,DIVERSIFICADO,PRIVADO,URBANA,2,MONOLINGUE,VESPERTINA,DIARIO(REGULAR)
83,16-01-9958-46,16-031,16,1601,LICEO DR. RICARDO BRESSANI,1A. AVE 5 52 ZONA 2,79521633,GLENDA DINORA GARCIA DELGADO,NA,DIVERSIFICADO,PRIVADO,URBANA,1,MONOLINGUE,DOBLE,DIARIO(REGULAR)
84,16-01-9991-46,16-031,16,1601,ASOCIACION DE MAESTROS DE EDUCACION RURAL DE GUATEMALA (AMERG),6A. AVE 1 27 ZONA 4,79520175,GLENDA DINORA GARCIA DELGADO,NA,DIVERSIFICADO,PRIVADO,RURAL,2,BILINGUE,DOBLE,FIN DE SEMANA
85,16-02-0013-46,16-006,16,1602,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,BARRIO SANTA ELENA,57767683,ARMANDO AUDILIO POP CUCUL,NA,DIVERSIFICADO,OFICIAL,RURAL,1,MONOLINGUE,VESPERTINA,DIARIO(REGULAR)
86,16-02-0020-46,16-006,16,1602,LICEO SANTA CRUZ,"CALLE 3 DE MAYO 2 67 ZONA 2, BARRIO SANTO TOMAS",50161328,ARMANDO AUDILIO POP CUCUL,AUGUSTO ALEXANDER RAX RODRIGUEZ,DIVERSIFICADO,PRIVADO,URBANA,1,MONOLINGUE,VESPERTINA,DIARIO(REGULAR)
87,16-03-0036-46,16-008,16,1603,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,BARRIO CHIYUC,0,ERWIN IVAN LEM MORAN,NA,DIVERSIFICADO,OFICIAL,RURAL,1,MONOLINGUE,VESPERTINA,DIARIO(REGULAR)
